RCArea,DBSiteCode,FishDate,LatWGS84Fished,LongWGS84Fished
Don,121-0006,22/09/2020,-20.2053,148.1262
Don,121-0006,30/10/2023,-20.205,148.1265
Don,121-0010,22/09/2020,-20.1588,148.154
Don,121-0010,30/10/2023,-20.1588,148.154
Don,121-0013,21/09/2020,-20.3861,148.1301
Don,121-0013,30/10/2023,-20.3861,148.1298
Don,121-0019,21/09/2020,-19.9826,148.2045
Don,121-0032,22/09/2020,-19.7525,147.4825
Don,121-0032,23/10/2023,-19.7525,147.4825
Don,121-0043,22/09/2020,-20.0229,147.6532
Don,121-0043,30/10/2023,-20.0228,147.6533
Don,121-0061,23/09/2020,-20.205,147.9607
Don,121-0159,23/09/2020,-20.1196,147.8896
Don,121-0159,23/10/2023,-20.1236,147.8912
Don,121-0180,25/09/2020,-19.9252,147.8474
Don,121-0180,30/10/2023,-19.925,147.8473
Don,121-0235,23/09/2020,-19.9985,147.6614
Don,121-0235,23/10/2023,-19.9985,147.6614
Don,121-0313,24/09/2020,-20.0092,148.13
Don,121-0313,22/10/2023,-20.0092,148.13
Don,121-0318,24/09/2020,-19.7366,147.4695
Don,121-0318,23/10/2023,-19.7366,147.4695
Don,121-0337,23/09/2020,-20.1744,147.9526
Don,121-0337,22/10/2023,-20.1744,147.9526
Don,121-9998,24/09/2020,-19.9437,147.5663
Don,121-9999,24/09/2020,-20.0773,147.9143
